folio,sku,descripcion,cantidad,precio_unitario,impuesto,descuento,subtotal,importe,fecha,registro_nombre,usuario_autorizo_nombre,marca
PO-000001,GEE-0001,TOP DE TEJIDO DENIM BEIGE,9,265,16,0,2385,2766.6,2024-01-04,USUARIO1,ADMIN1,GEEGEE
PO-000001,GEE-0002,BLUSA ACANALADO CREMA,9,253,16,0,2277,2641.32,2024-01-04,USUARIO1,ADMIN1,GEEGEE
PO-000002,INA-0001,ENTERIZO CON LAZADA NEGRO,9,291,16,0,2619,3038.04,2024-01-04,USUARIO1,ADMIN1,INA
PO-000002,INA-0002,ENTERIZO CON BORDADO SUIZO CREMA,9,289,16,0,2601,3017.16,2024-01-04,USUARIO1,ADMIN1,INA
PO-000003,HAV-0001,PANTALON DE LINO AZUL MARINO,18,149,16,0,2682,3111.12,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000003,HAV-0002,PANTALON DE LINO VERDE ESMERALDA,18,258,16,0,4644,5387.04,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000003,HAV-0003,FALDA CON CUELLO EN V GRIS JASPE,18,268,16,0,4824,5595.84,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000003,HAV-0004,CROP TOP DE LINO BURDEOS,18,252,16,0,4536,5261.76,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000003,HAV-0005,BLUSA CON BORDADO SUIZO AZUL MARINO,18,258,16,0,4644,5387.04,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000003,HAV-0006,PANTALON DE CORTE RECTO TERRACOTA,18,286,16,0,5148,5971.68,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000003,HAV-0007,CROP TOP ACANALADO CREMA,18,148,16,0,2664,3090.24,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000003,HAV-0008,CROP TOP DE ENCAJE LILA,18,169,16,0,3042,3528.72,2024-01-04,USUARIO1,ADMIN1,HAVE
PO-000003,HAV-0009,CROP TOP DE CORTE RECTO GRIS JASPE,18,172,16,0,3096,3591.36,2024-01-04,USUARIO1,ADMIN1,HAVE
