id_ntc,id_venta,id_cliente,fecha,sku,descripcion,cantidad,precio,total
NTC-000001,NOT-000012,1,2024-01-05,MIN-0007,PANTALON CON OLANES NEGRO,1,255,255
NTC-000002,NOT-000019,1,2024-01-06,MIC-0002,FALDA DE LINO TERRACOTA,1,270,270
NTC-000003,NOT-000020,1,2024-01-06,ACT-0001,CARDIGAN DE TEJIDO DENIM TERRACOTA,1,342,342
NTC-000004,NOT-000023,1,2024-01-06,OVI-0008,CARDIGAN AJUSTADO ROSA PASTEL,1,400,400
NTC-000005,NOT-000078,1,2024-01-07,GAL-0012,FALDA CON BORDADO SUIZO MOSTAZA,1,201,201
NTC-000006,NOT-000093,1,2024-01-07,GAL-0012,FALDA CON BORDADO SUIZO MOSTAZA,1,201,201
NTC-000007,NOT-000099,1,2024-01-07,HAV-0002,PANTALON DE LINO VERDE ESMERALDA,1,310,310
NTC-000008,NOT-000125,1,2024-01-08,ACT-0013,CARDIGAN SATINADO LILA,1,232,232
NTC-000009,NOT-000154,1,2024-01-08,ONE-0001,TOP ACANALADO TERRACOTA,1,424,424
NTC-000010,NOT-000192,1,2024-01-09,PAP-0011,CAMISA PLISADO AZUL CIELO,1,216,216
NTC-000011,NOT-000224,1,2024-01-10,GAL-0011,ENTERIZO DE CORTE RECTO BLANCO,1,201,201
NTC-000012,NOT-000234,1,2024-01-10,MIL-0007,PANTALON DE ENCAJE BLANCO,1,279,279
NTC-000013,NOT-000241,1,2024-01-10,ONT-0009,VESTIDO CON BORDADO SUIZO MOSTAZA,1,275,275
NTC-000014,NOT-000317,1,2024-01-12,ACT-0005,PANTALON CON LAZADA AZUL MARINO,1,376,376
NTC-000015,NOT-000321,1,2024-01-12,MIC-0010,FALDA CON BORDADO SUIZO AZUL CIELO,1,248,248
NTC-000016,NOT-000358,1,2024-01-14,PAP-0004,ENTERIZO MANGA OBISPO NEGRO,1,327,327
NTC-000017,NOT-000367,1,2024-01-14,MIC-0001,CARDIGAN DE LINO BLANCO,1,261,261
NTC-000018,NOT-000369,1,2024-01-14,LOR-0004,VESTIDO DE TEJIDO DENIM LILA,1,397,397
NTC-000019,NOT-000370,1,2024-01-14,LOT-0007,SHORT OVERSIZE AZUL MARINO,1,296,296
NTC-000020,NOT-000378,1,2024-01-14,OVI-0010,BLUSA OVERSIZE ROSA PASTEL,1,318,318
NTC-000021,NOT-000384,1,2024-01-14,PAP-0004,ENTERIZO MANGA OBISPO NEGRO,1,327,327
NTC-000022,NOT-000404,1,2024-01-15,MIN-0006,CROP TOP AJUSTADO BEIGE,1,216,216
NTC-000023,NOT-000424,1,2024-01-16,PAP-0005,TOP CON ESTAMPADO FLORAL NEGRO,1,395,395
NTC-000024,NOT-000424,1,2024-01-16,ONT-0013,ENTERIZO CON LAZADA BLANCO,1,462,462
NTC-000025,NOT-000471,1,2024-01-18,IJO-0006,PANTALON CON CUELLO EN V BEIGE,1,203,203
NTC-000026,NOT-000475,1,2024-01-18,LEE-0004,ENTERIZO DE TEJIDO DENIM CREMA,1,450,450
NTC-000027,NOT-000501,1,2024-01-19,LOT-0005,CROP TOP ACANALADO LILA,1,188,188
NTC-000028,NOT-000513,1,2024-01-19,MIC-0009,ENTERIZO CON BOTONES FRONTALES ROSA PASTEL,1,192,192
NTC-000029,NOT-000535,1,2024-01-20,INV-0002,CROP TOP ACANALADO BEIGE,1,232,232
NTC-000030,NOT-000541,1,2024-01-20,LOR-0007,VESTIDO CON CUELLO EN V MOSTAZA,1,386,386
NTC-000031,NOT-000559,1,2024-01-21,MIC-0001,CARDIGAN DE LINO BLANCO,1,261,261
NTC-000032,NOT-000587,1,2024-01-22,LOT-0006,BLUSA SATINADO BURDEOS,1,179,179
NTC-000033,NOT-000602,1,2024-01-22,MIC-0001,CARDIGAN DE LINO BLANCO,1,261,261
NTC-000034,NOT-000623,1,2024-01-23,GEE-0001,TOP DE TEJIDO DENIM BEIGE,1,318,318
NTC-000035,NOT-000628,1,2024-01-23,LEE-0007,CROP TOP DE TEJIDO DENIM BEIGE,1,297,297
NTC-000036,NOT-000650,1,2024-01-24,ACT-0009,FALDA ACANALADO BEIGE,1,245,245
NTC-000037,NOT-000677,1,2024-01-25,LOT-0007,SHORT OVERSIZE AZUL MARINO,1,296,296
NTC-000038,NOT-000704,1,2024-01-26,PAP-0003,CROP TOP ACANALADO LILA,1,182,182
NTC-000039,NOT-000734,1,2024-01-27,ONE-0002,PANTALON DE ENCAJE GRIS JASPE,1,488,488
NTC-000040,NOT-000777,1,2024-01-28,ONT-0001,FALDA CON BOTONES FRONTALES TERRACOTA,1,418,418
NTC-000041,NOT-000820,1,2024-02-05,MIC-0037,CAMISA DE LINO TERRACOTA,1,142,142
NTC-000042,NOT-000887,1,2024-02-07,MIN-0021,FALDA SATINADO NEGRO,1,184,184
NTC-000043,NOT-000894,1,2024-02-07,MIN-0028,VESTIDO DE TEJIDO DENIM TERRACOTA,1,276,276
NTC-000044,NOT-000897,1,2024-02-07,HAV-0010,VESTIDO ACANALADO AZUL MARINO,1,256,256
NTC-000045,NOT-000909,1,2024-02-07,ACT-0038,VESTIDO CON OLANES BURDEOS,1,168,168
NTC-000046,NOT-000913,1,2024-02-07,ACT-0036,TOP CON BOTONES FRONTALES MOSTAZA,1,201,201
NTC-000047,NOT-000933,1,2024-02-07,ACT-0027,CARDIGAN CON BORDADO SUIZO BURDEOS,1,115,115
NTC-000048,NOT-000937,1,2024-02-07,LOR-0016,TOP CON OLANES AZUL CIELO,1,257,257
NTC-000049,NOT-000940,1,2024-02-07,OVE-0022,TOP DE ENCAJE BURDEOS,1,192,192
NTC-000050,NOT-000952,1,2024-02-08,MIC-0034,TOP DE ENCAJE TERRACOTA,1,134,134
NTC-000051,NOT-000956,1,2024-02-08,MIN-0029,PANTALON CON OLANES BURDEOS,1,239,239
NTC-000052,NOT-000960,1,2024-02-08,PAP-0024,FALDA CON BOTONES FRONTALES GRIS JASPE,1,389,389
NTC-000053,NOT-000965,1,2024-02-08,ACT-0035,FALDA DE CORTE RECTO LILA,1,156,156
NTC-000054,NOT-000969,1,2024-02-08,ACT-0039,CROP TOP PLISADO NEGRO,1,147,147
NTC-000055,NOT-000969,1,2024-02-08,MIC-0033,CROP TOP DE CORTE RECTO LILA,1,143,143
NTC-000056,NOT-000980,1,2024-02-08,BAM-0010,CROP TOP DE LINO CREMA,1,590,590
NTC-000057,NOT-000985,1,2024-02-08,AJL-0018,PANTALON CON CUELLO EN V AZUL CIELO,1,218,218
NTC-000058,NOT-001012,1,2024-02-09,MIC-0035,BLUSA CON ESTAMPADO FLORAL VERDE ESMERALDA,1,181,181
NTC-000059,NOT-001027,1,2024-02-09,MIC-0039,SHORT CON BOTONES FRONTALES BURDEOS,1,292,292
NTC-000060,NOT-001031,1,2024-02-09,MIN-0026,FALDA SATINADO BEIGE,1,186,186
NTC-000061,NOT-001040,1,2024-02-09,OVE-0021,CARDIGAN SATINADO BLANCO,1,262,262
NTC-000062,NOT-001059,1,2024-02-09,ACT-0037,ENTERIZO MANGA OBISPO BURDEOS,1,358,358
NTC-000063,NOT-001078,1,2024-02-10,MIC-0034,TOP DE ENCAJE TERRACOTA,1,134,134
NTC-000064,NOT-001089,1,2024-02-10,MIN-0022,SHORT CON ESTAMPADO FLORAL LILA,1,181,181
NTC-000065,NOT-001099,1,2024-02-10,LOT-0025,CROP TOP CON BOTONES FRONTALES ROSA PASTEL,1,175,175
NTC-000066,NOT-001101,1,2024-02-10,PAP-0028,CROP TOP OVERSIZE VERDE ESMERALDA,1,256,256
NTC-000067,NOT-001110,1,2024-02-10,MIN-0025,PANTALON CON OLANES VERDE ESMERALDA,1,226,226
