sku,id_producto,nombre_producto,modelo,color,talla,categoria,marca,precio_venta,costo,fecha,tipo_producto,unidad_medida,codigo_barras,Tipo_producto_afecta_inventario
GEE-0001,1,TOP DE TEJIDO DENIM BEIGE,,,,TOP,GEEGEE,318,265,2024-01-04,Inventariable,Pieza,50000001,TRUE
GEE-0002,2,BLUSA ACANALADO CREMA,,,,BLUSA,GEEGEE,304,253,2024-01-04,Inventariable,Pieza,50000002,TRUE
INA-0001,3,ENTERIZO CON LAZADA NEGRO,,,,ENTERIZO,INA,350,291,2024-01-04,Inventariable,Pieza,50000003,TRUE
INA-0002,4,ENTERIZO CON BORDADO SUIZO CREMA,,,,ENTERIZO,INA,347,289,2024-01-04,Inventariable,Pieza,50000004,TRUE
HAV-0001,5,PANTALON DE LINO AZUL MARINO,,,,PANTALON,HAVE,194,149,2024-01-04,Inventariable,Pieza,50000005,TRUE
HAV-0002,6,PANTALON DE LINO VERDE ESMERALDA,,,,PANTALON,HAVE,310,258,2024-01-04,Inventariable,Pieza,50000006,TRUE
HAV-0003,7,FALDA CON CUELLO EN V GRIS JASPE,,,,FALDA,HAVE,322,268,2024-01-04,Inventariable,Pieza,50000007,TRUE
HAV-0004,8,CROP TOP DE LINO BURDEOS,,,,CROP,HAVE,303,252,2024-01-04,Inventariable,Pieza,50000008,TRUE
HAV-0005,9,BLUSA CON BORDADO SUIZO AZUL MARINO,,,,BLUSA,HAVE,310,258,2024-01-04,Inventariable,Pieza,50000009,TRUE
HAV-0006,10,PANTALON DE CORTE RECTO TERRACOTA,,,,PANTALON,HAVE,344,286,2024-01-04,Inventariable,Pieza,50000010,TRUE
HAV-0007,11,CROP TOP ACANALADO CREMA,,,,CROP,HAVE,193,148,2024-01-04,Inventariable,Pieza,50000011,TRUE
HAV-0008,12,CROP TOP DE ENCAJE LILA,,,,CROP,HAVE,203,169,2024-01-04,Inventariable,Pieza,50000012,TRUE
HAV-0009,13,CROP TOP DE CORTE RECTO GRIS JASPE,,,,CROP,HAVE,207,172,2024-01-04,Inventariable,Pieza,50000013,TRUE
HAV-0010,14,VESTIDO ACANALADO AZUL MARINO,,,,VESTIDO,HAVE,256,213,2024-01-04,Inventariable,Pieza,50000014,TRUE
