fecha_compra,sku,marca,cantidad_compra,costo_producto,cohorte_compra
2024-01-04 00:00:00+00:00,GEE-0001,GEEGEE,9,265,2024-01
2024-01-04 00:00:00+00:00,GEE-0002,GEEGEE,9,253,2024-01
2024-01-04 00:00:00+00:00,INA-0001,INA,9,291,2024-01
2024-01-04 00:00:00+00:00,INA-0002,INA,9,289,2024-01
2024-01-04 00:00:00+00:00,HAV-0001,HAVE,18,149,2024-01
2024-01-04 00:00:00+00:00,HAV-0002,HAVE,18,258,2024-01
2024-01-04 00:00:00+00:00,HAV-0003,HAVE,18,268,2024-01
2024-01-04 00:00:00+00:00,HAV-0004,HAVE,18,252,2024-01
2024-01-04 00:00:00+00:00,HAV-0005,HAVE,18,258,2024-01
2024-01-04 00:00:00+00:00,HAV-0006,HAVE,18,286,2024-01
2024-01-04 00:00:00+00:00,HAV-0007,HAVE,18,148,2024-01
2024-01-04 00:00:00+00:00,HAV-0008,HAVE,18,169,2024-01
2024-01-04 00:00:00+00:00,HAV-0009,HAVE,18,172,2024-01
2024-01-04 00:00:00+00:00,HAV-0010,HAVE,21,213,2024-01
2024-01-04 00:00:00+00:00,BLA-0001,BLASHE,9,172,2024-01
2024-01-04 00:00:00+00:00,BLA-0002,BLASHE,9,191,2024-01
2024-01-04 00:00:00+00:00,BLA-0003,BLASHE,12,148,2024-01
2024-01-04 00:00:00+00:00,BLA-0004,BLASHE,9,187,2024-01
2024-01-04 00:00:00+00:00,BLA-0005,BLASHE,12,163,2024-01
2024-01-04 00:00:00+00:00,AJL-0001,AJ LEE APPAREL,9,170,2024-01
2024-01-04 00:00:00+00:00,AJL-0002,AJ LEE APPAREL,9,168,2024-01
2024-01-04 00:00:00+00:00,AJL-0003,AJ LEE APPAREL,12,169,2024-01
2024-01-04 00:00:00+00:00,AJL-0004,AJ LEE APPAREL,9,174,2024-01
2024-01-04 00:00:00+00:00,AJL-0005,AJ LEE APPAREL,12,183,2024-01
2024-01-04 00:00:00+00:00,ACG-0001,ACG,9,224,2024-01
2024-01-04 00:00:00+00:00,ACG-0002,ACG,9,187,2024-01
2024-01-04 00:00:00+00:00,ACG-0003,ACG,9,243,2024-01
2024-01-04 00:00:00+00:00,ACG-0004,ACG,9,160,2024-01
2024-01-04 00:00:00+00:00,ACG-0005,ACG,9,223,2024-01
2024-01-04 00:00:00+00:00,ACG-0006,ACG,9,238,2024-01
2024-01-04 00:00:00+00:00,ACG-0007,ACG,9,208,2024-01
2024-01-04 00:00:00+00:00,ACG-0008,ACG,9,207,2024-01
2024-01-04 00:00:00+00:00,ACG-0009,ACG,9,157,2024-01
2024-01-04 00:00:00+00:00,ACG-0010,ACG,12,195,2024-01
2024-01-04 00:00:00+00:00,MIN-0001,MINE,24,268,2024-01
2024-01-04 00:00:00+00:00,MIN-0002,MINE,21,151,2024-01
2024-01-04 00:00:00+00:00,MIN-0003,MINE,24,165,2024-01
2024-01-04 00:00:00+00:00,MIN-0004,MINE,24,217,2024-01
2024-01-04 00:00:00+00:00,MIN-0005,MINE,21,209,2024-01
2024-01-04 00:00:00+00:00,MIN-0006,MINE,24,180,2024-01
2024-01-04 00:00:00+00:00,MIN-0007,MINE,24,212,2024-01
2024-01-04 00:00:00+00:00,MIN-0008,MINE,21,203,2024-01
2024-01-04 00:00:00+00:00,MIN-0009,MINE,24,216,2024-01
2024-01-04 00:00:00+00:00,MIN-0010,MINE,24,238,2024-01
2024-01-04 00:00:00+00:00,MIN-0011,MINE,21,127,2024-01
2024-01-04 00:00:00+00:00,MIN-0012,MINE,24,269,2024-01
2024-01-04 00:00:00+00:00,CHO-0001,CHOCOLATE,9,221,2024-01
2024-01-04 00:00:00+00:00,CHO-0002,CHOCOLATE,12,296,2024-01
2024-01-04 00:00:00+00:00,CHO-0003,CHOCOLATE,9,201,2024-01
2024-01-04 00:00:00+00:00,CHO-0004,CHOCOLATE,12,240,2024-01
2024-01-04 00:00:00+00:00,STE-0001,STELLA,9,66,2024-01
2024-01-04 00:00:00+00:00,STE-0002,STELLA,9,103,2024-01
