sku,cantidad_venta_real,total_venta,cantidad_compra,total_compra,costo_producto_iva,fecha_compra,stock,flujo_caja,costo_stock,fecha_mes_stock,status
ACG-0001,7,1876,9,2016,224.000000028,2024-01-04,2,-140,448,23,DEAD STOCK
ACG-0002,7,1568,9,1683,187.00000005599998,2024-01-04,2,-115,374,23,DEAD STOCK
ACG-0003,7,2037,9,2187,242.999999976,2024-01-04,2,-150,485,23,DEAD STOCK
ACG-0004,7,1449,9,1440,160.00000002,2024-01-04,2,9,320,23,DEAD STOCK
ACG-0005,8,2144,9,2007,222.99999998799998,2024-01-04,1,137,222,23,DEAD STOCK
ACG-0006,7,1995,9,2142,238.00000000799997,2024-01-04,2,-147,476,23,DEAD STOCK
ACG-0007,7,1750,9,1872,207.99999996799997,2024-01-04,2,-122,415,23,DEAD STOCK
ACG-0008,7,1736,9,1863,207.000000044,2024-01-04,2,-127,414,23,DEAD STOCK
ACG-0009,7,1428,9,1413,157.000000016,2024-01-04,2,15,314,23,DEAD STOCK
ACG-0010,10,2330,12,2340,195.000000028,2024-01-04,2,-10,390,23,DEAD STOCK
ACG-0011,7,1442,9,1539,170.99999999599999,2025-01-06,2,-97,341,10,DEAD STOCK
ACG-0012,9,2403,12,2664,221.99999994799998,2025-01-06,3,-261,665,10,DEAD STOCK
ACG-0013,12,2436,12,2028,169.000000032,2025-01-06,0,408,0,10,DEAD STOCK
ACG-0014,7,1568,9,1683,187.00000005599998,2025-01-06,2,-115,374,10,DEAD STOCK
ACG-0015,9,1935,12,1980,164.99999998799998,2025-01-06,3,-45,494,10,DEAD STOCK
ACG-0016,10,2470,12,2472,206.000000004,2025-01-06,2,-2,412,10,DEAD STOCK
ACG-0017,8,1728,9,1494,166.000000028,2025-01-06,1,234,166,10,DEAD STOCK
ACG-0018,8,2280,12,2856,238.00000000799997,2025-01-06,4,-576,952,10,DEAD STOCK
ACG-0019,9,2178,9,1809,201.000000036,2024-02-06,0,369,0,22,DEAD STOCK
ACG-0020,7,1750,9,1872,207.99999996799997,2024-02-06,2,-122,415,22,DEAD STOCK
ACG-0021,7,1449,9,1431,158.99999997999998,2024-02-06,2,18,317,22,DEAD STOCK
ACG-0022,9,2205,9,1836,204.00000003999997,2024-02-06,0,369,0,22,DEAD STOCK
ACG-0023,6,1536,9,1926,213.999999976,2024-02-06,3,-390,641,22,DEAD STOCK
ACG-0024,9,1863,9,1440,160.00000002,2024-02-06,0,423,0,22,DEAD STOCK
ACG-0025,10,2100,12,1944,161.999999984,2024-02-06,2,156,323,22,DEAD STOCK
ACG-0026,8,1648,12,1896,158.00000005599998,2024-02-06,4,-248,632,22,DEAD STOCK
ACG-0027,7,2114,9,2259,250.99999994799995,2024-02-06,2,-145,501,22,DEAD STOCK
ACG-0028,10,2910,12,2916,242.999999976,2024-02-06,2,-6,485,22,DEAD STOCK
ACG-0029,9,1764,12,1812,151.00000000799997,2024-02-06,3,-48,453,22,DEAD STOCK
ACG-0030,9,1917,9,1602,178.000000044,2024-02-06,0,315,0,22,DEAD STOCK
